id,distrito
1,ARGANZUELA
4,CENTRO
7,SALAMANCA
8,CHAMARTIN
9,TETUAN
10,CHAMBERI
11,"FUENCARRAL - EL PARDO"
12,HORTALEZA
13,BARAJAS
14,"MONCLOA - ARAVACA"
15,"CIUDAD LINEAL"
16,"SAN BLAS"
17,RETIRO
18,MORATALAZ
19,VICALVARO
20,"PUENTE DE VALLECAS"
21,"VILLA DE VALLECAS"
22,VILLAVERDE
23,USERA
24,CARABANCHEL
25,LATINA
35,SIN DISTRITO
